
    ________                      __
    \_____  \  __ _______ _______|  | __
     /  / \  \|  |  \__  \_  __ \  |/ /
    /   \_/.  \  |  // __ \|  | \/    <
    \_____\ \_/____/(____  /__|  |__|_ \
           \__>          \/           \/ v22.1.1
    
                An Obfuscation-Neglect Android Malware Scoring System
                
[!] WARNING: Moderate Risk
[*] Total Score: 181
+------------+---------------------------------------------------------------------------------+------------+-------+--------+
| Filename   | Rule                                                                            | Confidence | Score | Weight |
| 00055.json | Query the SMS content and the source of the phone number                        | 40%        | 1     | 0.125  |
| 00056.json | Modify voice volume                                                             | 20%        | 1     | 0.0625 |
| 00057.json | Return the DHCP-assigned addresses from the last successful DHCP request        | 40%        | 1     | 0.125  |
| 00058.json | Connect to the specific WIFI network                                            | 20%        | 1     | 0.0625 |
| 00059.json | Query the SIM card status                                                       | 40%        | 1     | 0.125  |
| 00060.json | Query the network operator name                                                 | 40%        | 1     | 0.125  |
| 00061.json | Return dynamic information about the current Wi-Fi connection                   | 40%        | 1     | 0.125  |
| 00062.json | Query WiFi information and WiFi Mac Address                                     | 20%        | 1     | 0.0625 |
| 00063.json | Implicit intent(view a web page, make a phone call, etc.)                       | 40%        | 1     | 0.125  |
| 00064.json | Monitor incoming call status                                                    | 40%        | 1     | 0.125  |
| 00065.json | Get the country code of the SIM card provider                                   | 40%        | 1     | 0.125  |
| 00066.json | Query the ICCID number                                                          | 100%       | 1     | 1.0    |
| 00067.json | Query the IMSI number                                                           | 100%       | 1     | 1.0    |
| 00068.json | Executes the specified string Linux command                                     | 20%        | 1     | 0.0625 |
| 00069.json | Run shell script programmably                                                   | 20%        | 1     | 0.0625 |
| 00070.json | Get sender's address and send SMS                                               | 40%        | 1     | 0.125  |
| 00071.json | Write the ISO country code of the current network operator into a file          | 20%        | 1     | 0.0625 |
| 00072.json | Write HTTP input stream into a file                                             | 20%        | 1     | 0.0625 |
| 00073.json | Write the SIM card information into a file                                      | 20%        | 1     | 0.0625 |
| 00074.json | Get IMSI and the ISO country code                                               | 40%        | 1     | 0.125  |
| 00075.json | Get location of the device                                                      | 20%        | 1     | 0.0625 |
| 00076.json | Get the current WiFi information and put it into JSON                           | 20%        | 1     | 0.0625 |
| 00077.json | Read sensitive data(SMS, CALLLOG, etc)                                          | 100%       | 1     | 1.0    |
| 00078.json | Get the network operator name                                                   | 40%        | 1     | 0.125  |
| 00079.json | Hide the current app's icon                                                     | 60%        | 1     | 0.25   |
| 00080.json | Save recorded audio/video to a file                                             | 40%        | 1     | 0.125  |
| 00081.json | Get declared method from given method name                                      | 40%        | 1     | 0.125  |
| 00082.json | Get the current WiFi MAC address                                                | 40%        | 1     | 0.125  |
| 00083.json | Query the IMEI number                                                           | 60%        | 1     | 0.25   |
| 00084.json | Get the ISO country code and IMSI                                               | 40%        | 1     | 0.125  |
| 00085.json | Get the ISO country code and put it into JSON                                   | 20%        | 1     | 0.0625 |
| 00086.json | Check if the device is in data roaming mode                                     | 40%        | 1     | 0.125  |
| 00087.json | Check the current network type                                                  | 60%        | 1     | 0.25   |
| 00088.json | Create a secure socket connection to the given host address                     | 20%        | 1     | 0.0625 |
| 00089.json | Connect to a URL and receive input stream from the server                       | 20%        | 1     | 0.0625 |
| 00090.json | Set recroded audio/video file format                                            | 40%        | 1     | 0.125  |
| 00091.json | Retrieve data from broadcast                                                    | 60%        | 1     | 0.25   |
| 00092.json | Send broadcast                                                                  | 40%        | 1     | 0.125  |
| 00093.json | Get the content of SMS and forward it to others via SMS                         | 60%        | 1     | 0.25   |
| 00094.json | Connect to a URL and read data from it                                          | 20%        | 1     | 0.0625 |
| 00095.json | Write the ICCID of device into a file                                           | 20%        | 1     | 0.0625 |
| 00096.json | Connect to a URL and set request method                                         | 20%        | 1     | 0.0625 |
| 00097.json | Get the sender address of the SMS and put it into JSON                          | 20%        | 1     | 0.0625 |
| 00098.json | Check if the network is connected                                               | 40%        | 1     | 0.125  |
| 00099.json | Get location of the current GSM and put it into JSON                            | 20%        | 1     | 0.0625 |
| 00100.json | Check the network capabilities                                                  | 40%        | 1     | 0.125  |
| 00101.json | Initialize recorder                                                             | 40%        | 1     | 0.125  |
| 00102.json | Set the phone speaker on                                                        | 40%        | 1     | 0.125  |
| 00103.json | Check the active network type                                                   | 60%        | 1     | 0.25   |
| 00104.json | Check if the given path is directory                                            | 40%        | 1     | 0.125  |
| 00105.json | Append the sender's address to the string                                       | 40%        | 1     | 0.125  |
| 00106.json | Get the currently formatted WiFi IP address                                     | 20%        | 1     | 0.0625 |
| 00107.json | Write the IMSI number into a file                                               | 40%        | 1     | 0.125  |
| 00108.json | Read the input stream from given URL                                            | 20%        | 1     | 0.0625 |
| 00109.json | Connect to a URL and get the response code                                      | 20%        | 1     | 0.0625 |
| 00110.json | Query the ICCID number                                                          | 20%        | 1     | 0.0625 |
| 00111.json | Get the sender address of the SMS                                               | 40%        | 1     | 0.125  |
| 00112.json | Get the date of the calendar event                                              | 20%        | 1     | 0.0625 |
| 00113.json | Get location and put it into JSON                                               | 20%        | 1     | 0.0625 |
| 00114.json | Create a secure socket connection to the proxy address                          | 20%        | 1     | 0.0625 |
| 00115.json | Get last known location of the device                                           | 20%        | 1     | 0.0625 |
| 00116.json | Get the current WiFi MAC address and put it into JSON                           | 20%        | 1     | 0.0625 |
| 00117.json | Get the IMSI and network operator name                                          | 40%        | 1     | 0.125  |
| 00118.json | Check if the content of SMS contains given string                               | 40%        | 1     | 0.125  |
| 00119.json | Write the IMEI number into a file                                               | 40%        | 1     | 0.125  |
| 00120.json | Append the sender's address to the string                                       | 40%        | 1     | 0.125  |
| 00121.json | Create a directory                                                              | 40%        | 1     | 0.125  |
| 00122.json | Check if the sender address of SMS contains the given string                    | 20%        | 1     | 0.0625 |
